,0,1
146,"(9, 1, 1)",0.12236914267173389
147,"(9, 1, 2)",0.12658754072017453
148,"(9, 1, 3)",0.0027826552489925264
149,"(9, 1, 4)",-0.2018853334700599
150,"(10, 1, 0)",-0.00417826364910178
151,"(10, 1, 1)",-0.00938532626141544
152,"(10, 1, 2)",0.00013932227728665674
153,"(10, 1, 3)",-0.045161112165492144
154,"(10, 1, 4)",-0.041004991436674104
155,"(14, 0, 0)",-0.0019277615746170467
156,"(14, 0, 1)",-0.004310409348168557
157,"(14, 0, 2)",0.007978187216703476
158,"(14, 0, 3)",-0.027106677228356996
159,"(14, 0, 4)",-0.011940931961960215
160,"(14, 1, 0)",-0.011403819642601664
161,"(14, 1, 1)",-0.052673152753353755
162,"(14, 1, 2)",0.0038196618780431944
163,"(14, 1, 3)",-0.0209680245620044
164,"(14, 1, 4)",-0.024850893866131447
165,"(8, 1, 0)",0.0972608004549289
166,"(8, 1, 1)",0.012175569777734008
167,"(8, 1, 2)",0.0005695745833422339
168,"(8, 1, 3)",-0.010913080346555486
169,"(8, 1, 4)",-0.040937144425277516
170,"(10, 0, 0)",-0.10508630299372129
171,"(10, 0, 1)",-0.06250865812827486
172,"(10, 0, 2)",0.025330638710392105
173,"(10, 0, 3)",0.4332429124032649
174,"(10, 0, 4)",-0.004142365900278678
175,"(16, 1, 0)",0.23673224611993646
176,"(16, 1, 1)",0.028661628201942655
177,"(16, 1, 2)",0.016590332586739434
178,"(16, 1, 3)",-0.02845579793511969
179,"(16, 1, 4)",-0.03959889650486092
180,"(16, 0, 0)",-0.020119813383054942
181,"(16, 0, 1)",0.03657090323155522
182,"(16, 0, 2)",0.3941758439516306
183,"(16, 0, 3)",-0.024110189032906112
184,"(16, 0, 4)",-0.1370757847037183
185,"(17, 0, 0)",0.05495400777796619
186,"(17, 0, 1)",0.01760296669491928
187,"(17, 0, 2)",0.00962021882785904
188,"(17, 0, 3)",0.02167920739667972
189,"(17, 0, 4)",-0.06539147159805123
190,"(6, 0, 0)",0.10916756690770084
191,"(6, 0, 1)",0.0019389781739472941
192,"(6, 0, 2)",0.0
193,"(6, 0, 3)",-0.019283278464078363
194,"(6, 0, 4)",0.0
